=========================== Parameters =====================================
l1 [m]	l2 [m]	l3 [m]	c1 [m]	c2 [m]	c3 [m]	m1 [kg]	m2 [kg]	m3 [kg]
0.14
0.1
0.4458
0.7
0.5
0.9
0.1564
0.23764
0.1564
============================== Data ========================================
t [s]	th1 [rad]	th2 [rad]	th3 [rad]	th1d [rad/s]	th2d [rad/s]	th3d [rad/s]
0	0	0	0	0	0	0
0.01	-0.000703896259255965	-6.32473207287518e-05	0.000418151916976828	-0.141098158156259	-0.0106847522665454	0.0812759142805365
0.02	-0.0028270037441557	-0.000177248804199695	0.00157980117715151	-0.283706620011499	-0.0104449388254241	0.148847040177065
0.03	-0.00638029249824353	-0.000241958861251965	0.00335277357040759	-0.42699400502128	-0.00115324048809391	0.203728710792122
0.04	-0.0113663540887588	-0.000176796546869384	0.00561606969100091	-0.570123581067357	0.0151934601419609	0.247121562127367
0.05	-0.0177795587039239	7.8764084520565e-05	0.00826118668503262	-0.712293680461438	0.0365994155907931	0.280309180076494
0.06	-0.0256065661349043	0.00056570984127824	0.0111925314202934	-0.852768185189478	0.0611662843620927	0.304578452327142
0.07	-0.0348270954381022	0.00130683166690547	0.0143271429882712	-0.990897930647843	0.0871627821706647	0.321160745805067
0.08	-0.0454148676065204	0.0023086441144131	0.0175939211647929	-1.12613409281316	0.113070825601969	0.331191487825468
0.09	-0.0573386468952476	0.00356366300576917	0.0209325315179783	-1.25803473209802	0.137611614091336	0.335685452497807
0.1	-0.070563318388446	0.0050528583627774	0.0242921303107862	-1.38626569736459	0.159755188951788	0.335524971669617
0.11	-0.0850509513169981	0.00674813474016923	0.0276300247803109	-1.51059706213604	0.178716912773784	0.331458359899448
0.12	-0.10076180900478	0.00861472446068914	0.0309103580999958	-1.63089618848227	0.193944080971869	0.32410602405152
0.13	-0.117655276760379	0.0106134098159805	0.034102884266567	-1.74711840685739	0.205095554711211	0.313971983736947
0.14	-0.135690688296729	0.0127025173406981	0.0371818768880405	-1.85929617458041	0.212016928555518	0.301458828358264
0.15	-0.154828039221594	0.0148396504143896	0.040125197692597	-1.96752744167658	0.214713347232467	0.286884455084525
0.16	-0.175028582754292	0.0169831455888113	0.0429135356194083	-2.07196381833415	0.213321687464516	0.270499250274577
0.17	-0.196255308115288	0.0190932532751197	0.0455298155114376	-2.17279900929337	0.208083440477101	0.252502680162166
0.18	-0.21847330608354	0.0211330550034504	0.0479587665033954	-2.2702578614449	0.19931928109823	0.233058534781591
0.19	-0.241650029136744	0.0230691377375698	0.0501866338983303	-2.36458626472743	0.187405998535006	0.212308315544434
0.2	-0.265755455519949	0.0248720511042309	0.052201014316248	-2.45604205483021	0.172756196607962	0.190382467991182
0.21	-0.290762167679035	0.0265165763266183	0.0539907918169572	-2.54488698996655	0.155800949165103	0.167409335892953
0.22	-0.3166453559008	0.0279818365848942	0.0555461521849043	-2.63137981300356	0.136975418959556	0.143521851837646
0.23	-0.343382757870329	0.0292512778996899	0.0568586532691405	-2.71577036378373	0.116707313027183	0.118862084905406
0.24	-0.37095454432855	0.0303125478505507	0.0579213308772714	-2.79829467334612	0.0954079508044946	0.0935838412278704
0.25	-0.399343160214152	0.0311572968628901	0.058728821944236	-2.87917095042315	0.0734656582857009	0.0678535619695528
0.26	-0.428533129713913	0.0317809237374353	0.0592774892911763	-2.95859635934233	0.0512411673713638	0.0418497897090729
