=========================== Parameters =====================================
l1 [m]	l2 [m]	l3 [m]	c1 [m]	c2 [m]	c3 [m]	m1 [kg]	m2 [kg]	m3 [kg]
0.14	0.14	0.4058	0.5	0.1	0.5	0.1564	0.23764	0.1564
============================== Data ========================================
t [s]	th1 [rad]	th2 [rad]	th3 [rad]	th1d [rad/s]	th2d [rad/s]	th3d [rad/s]
0	0	0	0	0	0	0
0.01	-0.00114219195863834	-0.000302049462494082	0.0011413281799959	-0.231651333130081	-0.00311217922838068	0.157612073678424
0.02	-0.0046083854828991	6.72995810508363e-05	0.00291633987342463	-0.459587280623027	0.0747299837163344	0.195694265940736
0.03	-0.01029361982773	0.0011420559789534	0.00502800160228564	-0.675459949363619	0.137681773845228	0.225337041867456
0.04	-0.0180783877508457	0.00277222513313436	0.00739613453117742	-0.87958636650484	0.186076077235022	0.246850907370525
0.05	-0.0278480837571622	0.00481690798389874	0.0099399610750417	-1.07256539234037	0.220760569326617	0.260525294194938
0.06	-0.0394952866669015	0.00714625856173424	0.0125809978948853	-1.25521016786375	0.242907406801631	0.266731809706307
0.07	-0.0529214056696564	0.00964185525555185	0.0152466419626071	-1.42853451591406	0.254416474841758	0.265344962024935
0.08	-0.0680382328127363	0.012201386031105	0.0178676796948367	-1.59353700885044	0.255961240203426	0.257902159914824
0.09	-0.0847682588328923	0.0147342290135166	0.0203853298662232	-1.75136899461343	0.249395781592289	0.244718324831881
0.1	-0.103045323570162	0.017165357155936	0.022747742741447	-1.90312868723987	0.235820544494135	0.22704177098907
0.11	-0.122814327375375	0.0194325121949962	0.0249134893497089	-2.04993936745509	0.216854615956338	0.205504599657203
0.12	-0.144031037407524	0.0214879356484128	0.0268490746914358	-2.19282172541904	0.193489749842306	0.181386927853565
0.13	-0.16666117518187	0.0232947590000098	0.0285320583276247	-2.33279365489188	0.16749982460802	0.154930472355934
0.14	-0.190679883399832	0.0248301335798036	0.0299458866956602	-2.47067284362162	0.139386711733805	0.127677096717558
0.15	-0.216070289221829	0.0260798342979164	0.0310842406803661	-2.60724925535499	0.110520238320543	0.0999568456370524
0.16	-0.242822580812607	0.0270401402031973	0.0319466766231168	-2.74314028227668	0.081590774314554	0.0726589922844431
0.17	-0.270932573698788	0.0277147813577885	0.0325398085084303	-2.87886215287832	0.0535008122501776	0.0461851312933115
0.18	-0.300400483663766	0.0281147932143807	0.0328750224242224	-3.01477703154221	0.0267925147085837	0.0211068033365509
0.19	-0.331229535296201	0.0282566552813306	0.0329681572546259	-3.15111832083613	0.0019388918444729	-0.00217090042773159
0.2	-0.363424637370682	0.0281610535034389	0.0328385039102369	-3.28799306857105	-0.0206570968657749	-0.0234012904470309
0.21	-0.396991115340068	0.0278518853568462	0.0325076186499314	-3.42537874008654	-0.0407535471939357	-0.0423785680746183
0.22	-0.431933477212794	0.0273549946915268	0.0319985917592231	-3.56313723124517	-0.0581845852182091	-0.0590201762622271
0.23	-0.468254287512693	0.026697296396745	0.0313350433861204	-3.7010177368798	-0.0729215584928443	-0.0732763733954007
0.24	-0.505953107979256	0.0259056442544317	0.0305406257936777	-3.83867686812065	-0.0849513657314683	-0.0852492392306078
0.244559628884269	-0.523598775598299	0.0255075497785065	0.0301410020045594	-3.90124866486031	-0.0896449956141754	-0.0898849371533889
0.254559628884269	-0.564652542839043	0.0210879457284531	0.0371916983526369	-4.30886655343855	-0.79079616008278	1.49487328058833
0.264559628884269	-0.609764874229462	0.00981972271705564	0.0598589631594447	-4.71313332870052	-1.45326549437264	3.02542156781372
0.274559628884269	-0.65891423772787	-0.00761972796629934	0.0972270711517097	-5.12291019335976	-1.91554227558246	4.30090553095851
0.284559628884269	-0.712584288234095	-0.0222807948884179	0.138272181543688	-5.61685782620641	-0.901491679991214	3.76597772854087
0.294559628884269	-0.771238235717082	-0.0253350740175249	0.172121234530192	-6.11102832404102	0.273870898799589	3.02174953894196
0.304559628884269	-0.834737273299972	-0.0172220833695075	0.199157749978774	-6.58516525691086	1.32746349312251	2.40798036361225
0.314559628884269	-0.902866323252058	0.000810676920969276	0.220692012112845	-7.03674089472792	2.26008648807937	1.91743397628954
